AD	^(?:AD)*(\d{3})$
AR	^[A-Z]?\d{4}[A-Z]{0,3}$
AS	96799
AT	^(\d{4})$
AU	^(\d{4})$
AX	^(?:FI)*(\d{5})$
BD	^(\d{4})$
BE	^(\d{4})$
BG	^(\d{4})$
BM	^([A-Z]{2}\d{2})$
BR	^\d{5}-\d{3}$
BY	^(\d{6})$
CA	^([ABCEGHJKLMNPRSTVXY]\d[ABCEGHJKLMNPRSTVWXYZ]) ?(\d[ABCEGHJKLMNPRSTVWXYZ]\d)$
CH	^(\d{4})$
CO	^(\d{6})$
CR	^(\d{5})$
CZ	^\d{3}\s?\d{2}$
DE	^(\d{5})$
DK	^(\d{4})$
DO	^(\d{5})$
DZ	^(\d{5})$
ES	^(\d{5})$
FI	^(?:FI)*(\d{5})$
FM	^(\d{5})$
FO	^(?:FO)*(\d{3})$
FR	^(\d{5})$
GB	^([Gg][Ii][Rr] 0[Aa]{2})|((([A-Za-z][0-9]{1,2})|(([A-Za-z][A-Ha-hJ-Yj-y][0-9]{1,2})|(([A-Za-z][0-9][A-Za-z])|([A-Za-z][A-Ha-hJ-Yj-y][0-9]?[A-Za-z])))) [0-9][A-Za-z]{2})$
GF	^((97|98)3\d{2})$
GG	^((?:(?:[A-PR-UWYZ][A-HK-Y]\d[ABEHMNPRV-Y0-9]|[A-PR-UWYZ]\d[A-HJKPS-UW0-9])\s\d[ABD-HJLNP-UW-Z]{2})|GIR\s?0AA)$
GL	^(\d{4})$
GP	^((97|98)\d{3})$
GT	^(\d{5})$
GU	^(969\d{2})$
HR	^(?:HR)*(\d{5})$
HU	^(\d{4})$
IE	^[A-Z]\d{2}$|^[A-Z]{3}[A-Z]{4}$
IM	^((?:(?:[A-PR-UWYZ][A-HK-Y]\d[ABEHMNPRV-Y0-9]|[A-PR-UWYZ]\d[A-HJKPS-UW0-9])\s\d[ABD-HJLNP-UW-Z]{2})|GIR\s?0AA)$
IN	^(\d{6})$
IS	^(\d{3})$
IT	^(\d{5})$
JE	^((?:(?:[A-PR-UWYZ][A-HK-Y]\d[ABEHMNPRV-Y0-9]|[A-PR-UWYZ]\d[A-HJKPS-UW0-9])\s\d[ABD-HJLNP-UW-Z]{2})|GIR\s?0AA)$
JP	^\d{3}-\d{4}$
LI	^(\d{4})$
LK	^(\d{5})$
LT	^(?:LT)*(\d{5})$
LU	^(?:L-)?\d{4}$
LV	^(?:LV)*(\d{4})$
MC	^(\d{5})$
MD	^MD-\d{4}$
MH	^969\d{2}(-\d{4})$
MK	^(\d{4})$
MP	^9695\d{1}$
MQ	^(\d{5})$
MT	^[A-Z]{3}\s?\d{4}$
MX	^(\d{5})$
MY	^(\d{5})$
NC	^(\d{5})$
NL	^(\d{4}[A-Z]{2})$
NO	^(\d{4})$
NZ	^(\d{4})$
PH	^(\d{4})$
PK	^(\d{5})$
PL	^\d{2}-\d{3}$
PM	^(97500)$
PR	^00[679]\d{2}(?:-\d{4})?$
PT	^\d{4}-\d{3}\s?[a-zA-Z]{0,25}$
PW	^(96940)$
RE	^((97|98)(4|7|8)\d{2})$
RO	^(\d{6})$
RU	^(\d{6})$
SE	^(?:SE)?\d{3}\s\d{2}$
SI	^(?:SI)*(\d{4})$
SJ	^(\d{4})$
SK	^\d{3}\s?\d{2}$
SM	^(4789\d)$
TH	^(\d{5})$
TR	^(\d{5})$
UA	^(\d{5})$
US	^\d{5}(-\d{4})?$
UY	^(\d{5})$
VA	^(\d{5})$
VI	^008\d{2}(?:-\d{4})?$
WF	^(986\d{2})$
YT	^(\d{5})$
ZA	^(\d{4})$
